"title","year_of_release","genre","rating","platform"
"Black",2006,"Shooter","M","PS2"
"Black",2006,"Shooter","M","XB"
"Black & Bruised",2003,"Fighting","","GC"
"Black & Bruised",2003,"Fighting","","PS2"
"Black & White",2001,"Strategy","","PC"
"Black & White 2",2005,"Strategy","","PC"
"Black * Rock Shooter: The Game",2011,"Role-Playing","T","PSP"
"Black Bass with Blue Marlin",1999,"Sports","","PS"
"Black Cat",2006,"Action","","PS2"
"Black Dawn",1996,"Simulation","","PS"
"Black Jack vs. Matsudajun",2000,"Misc","","PS"
"Black Mirror 2",2009,"Adventure","","PC"
"Black Rose Valkyrie",2016,"Role-Playing","","PS4"
"Black Sigil: Blade of the Exiled",2009,"Role-Playing","E","DS"
"Black Stone: Magic & Steel",2003,"Role-Playing","","XB"
"Black/Matrix",1998,"Strategy","","SAT"
"Blacksite: Area 51",2007,"Shooter","T","PS3"
"Blacksite: Area 51",2007,"Shooter","T","X360"
"Blackthorne",2003,"Action","T","GBA"
"Blackwater",2011,"Shooter","T","X360"
"Blade Arcus from Shining EX",2015,"Fighting","","PS3"
"Blade Arcus from Shining EX",2015,"Fighting","","PS4"
"Blade Dancer: Lineage of Light",2006,"Role-Playing","E10+","PSP"
"Blade II",2002,"Action","M","PS2"
"Blade II",2002,"Action","M","XB"
"Blades of Blood: Samurai Shodown III",1995,"Fighting","","PS"
"Blades of Time",2012,"Action","M","PS3"
"Blades of Time",2012,"Action","M","X360"
"Bladestorm: Nightmare",2015,"Action","T","PS3"
"Bladestorm: Nightmare",2015,"Action","T","PS4"
"Bladestorm: Nightmare",2015,"Action","T","XOne"
"Bladestorm: The Hundred Years' War",2007,"Action","T","PS3"
"Bladestorm: The Hundred Years' War",2007,"Action","T","X360"
"Blast Chamber",1996,"Shooter","","PS"
"Blast Corps",1997,"Action","","N64"
"Blast Lacrosse",2001,"Sports","","PS"
"Blast Radius",1998,"Action","","PS"
"Blast Works: Build Trade Destroy",2008,"Shooter","E","Wii"
"Blaster Master: Blasting Again",2000,"Shooter","","PS"
"Blasto",1998,"Action","","PS"
"BlazBlue Central Fiction",2016,"Fighting","T","PS3"
"BlazBlue Central Fiction",2016,"Fighting","T","PS4"
"BlazBlue: Calamity Trigger",2010,"Fighting","T","PC"
"BlazBlue: Calamity Trigger",2009,"Fighting","T","PS3"
"BlazBlue: Calamity Trigger",2009,"Fighting","T","X360"
"BlazBlue: Calamity Trigger Portable",2010,"Fighting","T","PSP"
"BlazBlue: Chrono Phantasma",2013,"Fighting","T","PS3"
"BlazBlue: Chrono Phantasma",2014,"Fighting","T","PSV"
"BlazBlue: Chrono Phantasma Extend",2015,"Action","T","PS3"
"BlazBlue: Chrono Phantasma Extend",2015,"Action","T","PS4"
"BlazBlue: Chrono Phantasma Extend",2015,"Action","T","PSV"
"BlazBlue: Chrono Phantasma Extend",2015,"Action","T","XOne"
"BlazBlue: Continuum Shift",2010,"Fighting","T","PS3"
"BlazBlue: Continuum Shift",2010,"Fighting","T","X360"
"Blazblue: Continuum Shift Extend",2011,"Fighting","T","PS3"
"Blazblue: Continuum Shift Extend",2012,"Fighting","","PSP"
"Blazblue: Continuum Shift Extend",2011,"Fighting","T","PSV"
"BlazBlue: Continuum Shift II",2011,"Fighting","T","3DS"
"BlazBlue: Continuum Shift II",2011,"Fighting","T","PSP"
"Blaze Union: Story to Reach the Future",2010,"Role-Playing","","PSP"
"Blazer Drive",2008,"Role-Playing","","DS"
"Blazing Angels 2: Secret Missions of WWII",2007,"Simulation","T","PS3"
"Blazing Angels 2: Secret Missions of WWII",2007,"Simulation","T","X360"
"Blazing Angels: Squadrons of WWII",2006,"Simulation","T","PC"
"Blazing Angels: Squadrons of WWII",2006,"Simulation","T","PS3"
"Blazing Angels: Squadrons of WWII",2007,"Simulation","T","Wii"
"Blazing Angels: Squadrons of WWII",2006,"Simulation","T","X360"
"Blazing Angels: Squadrons of WWII",2006,"Simulation","T","XB"
"Blazing Dragons",1996,"Adventure","","PS"
"Blazing Heroes",1995,"Role-Playing","","SAT"
"Blazing Souls",2006,"Role-Playing","","PS2"
"Blazing Souls: Accelate",2009,"Role-Playing","T","PSP"
"Bleach DS 4th: Flame Bringer",2009,"Action","","DS"
"Bleach GC: Tasogare Ni Mamieru Shinigami",2005,"Fighting","","GC"
"Bleach: Blade Battlers",2006,"Fighting","","PS2"
"Bleach: Blade Battlers 2nd",2007,"Fighting","","PS2"
"Bleach: Dark Souls",2007,"Fighting","T","DS"
"Bleach: Dark Souls (JP sales)",2007,"Fighting","","DS"
"Bleach: Erabareshi Tamashii",2005,"Adventure","","PS2"
"Bleach: Hanatareshi Yabou",2006,"Role-Playing","","PS2"
"Bleach: Heat the Soul",2005,"Fighting","","PSP"
"Bleach: Heat the Soul 3",2006,"Fighting","","PSP"
"Bleach: Heat the Soul 4",2007,"Fighting","","PSP"
"Bleach: Heat the Soul 5",2008,"Fighting","","PSP"
"Bleach: Heat the Soul 6",2009,"Fighting","","PSP"
"Bleach: Heat the Soul 7",2010,"Fighting","","PSP"
"Bleach: Shattered Blade",2006,"Fighting","T","Wii"
"Bleach: Soul Carnival",2008,"Fighting","","PSP"
"Bleach: Soul Carnival 2",2009,"Fighting","","PSP"
"Bleach: Soul Resurreccion",2011,"Fighting","T","PS3"
"Bleach: The 3rd Phantom",2008,"Role-Playing","T","DS"
"Bleach: The Blade of Fate",2006,"Fighting","T","DS"
"Bleach: Versus Crusade",2008,"Fighting","","Wii"
"Blender Bros.",2002,"Platform","E","GBA"
"Blinx 2: Masters of Time & Space",2004,"Platform","","XB"
"Blinx: The Time Sweeper",2002,"Platform","E","XB"
"Blitz: Overtime",2006,"Sports","M","PSP"
"Blitz: The League",2005,"Sports","M","PS2"
"Blitz: The League",2006,"Sports","M","X360"
"Blitz: The League",2004,"Sports","M","XB"
"Blitz: The League II",2008,"Sports","","PS3"
"Blitz: The League II",2008,"Sports","M","X360"
"Blitzkrieg 2 Anthology",2008,"Strategy","","PC"
"Block Kuzushi",1995,"Puzzle","","SNES"
"Block Party",2008,"Misc","E10+","Wii"
"Blokus Portable: Steambot Championship",2006,"Puzzle","E","PSP"
"Blood Bowl",2009,"Sports","T","PC"
"Blood Bowl",2009,"Sports","T","X360"
"Blood Bowl: Legendary Edition",2010,"Sports","T","PC"
"Blood Drive",2010,"Racing","M","PS3"
"Blood Drive",2010,"Racing","M","X360"
"Blood of Bahamut",2009,"Role-Playing","","DS"
"Blood Omen 2",2002,"Action","M","GC"
"Blood Omen 2",2002,"Action","M","PS2"
"Blood Omen 2",2002,"Action","M","XB"
"Blood Omen: Legacy of Kain",1996,"Role-Playing","","PS"
"Blood Wake",2001,"Shooter","T","XB"
"Blood Will Tell: Tezuka Osamu's Dororo",2004,"Adventure","","PS2"
"Blood: The Last Vampire (Joukan)",2000,"Adventure","","PS2"
"Bloodborne",2015,"Action","M","PS4"
"BloodRayne",2002,"Shooter","M","GC"
"BloodRayne",2002,"Shooter","M","PS2"
"BloodRayne",2002,"Shooter","M","XB"
"BloodRayne 2",2004,"Shooter","M","PS2"
"BloodRayne 2",2004,"Shooter","M","XB"
"Bloody Roar",1997,"Fighting","","PS"
"Bloody Roar 3",2001,"Fighting","T","PS2"
"Bloody Roar 4",2003,"Fighting","M","PS2"
"Bloody Roar Extreme",2003,"Fighting","T","XB"
"Bloody Roar II",1999,"Fighting","","PS"
"Bloody Roar: Primal Fury",2002,"Fighting","T","GC"
"BlowOut",2003,"Shooter","T","XB"
"Blue's Clues: Blue's Big Musical",2001,"Misc","","PS"
"Blue Breaker: Ken Yorimo Hohoemi o",1996,"Role-Playing","","PCFX"
"Blue Dragon",2006,"Role-Playing","T","X360"
"Blue Dragon Plus",2008,"Role-Playing","E","DS"
"Blue Dragon: Awakened Shadow",2009,"Role-Playing","E10+","DS"
"Blue Roses: Yousei to Aoi Hitomi no Senshitachi",2010,"Adventure","","PSP"
"Blue Stinger",1999,"Adventure","","DC"
"Blues Brothers 2000",2000,"Platform","","N64"
"Blur",2010,"Racing","E10+","PC"
"Blur",2010,"Racing","E10+","PS3"
"Blur",2010,"Racing","E10+","X360"
"BMX XXX",2002,"Sports","M","GC"
"BMX XXX",2002,"Sports","M","PS2"
"BMX XXX",2002,"Sports","M","XB"
"Board Game Classics",2005,"Misc","E","GBA"
"Board Game: Top Shop",1999,"Misc","","PS"
"Bob the Builder: Can We Fix It?",2000,"Action","","PS"
"Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken",2002,"Action","","GBA"
"Bode Miller Alpine Skiing",2006,"Sports","E","PS2"
"Body and Brain Connection",2010,"Misc","E","X360"
"Body Harvest",1998,"Shooter","","N64"
"Bodycount",2011,"Shooter","M","PS3"
"Bodycount",2011,"Shooter","M","X360"
"Bogey: Dead 6",1996,"Simulation","","PS"
"Boing! Docomodake DS",2007,"Puzzle","","DS"
"Boktai 2: Solar Boy Django",2004,"Role-Playing","T","GBA"
"Boktai: The Sun is in Your Hand",2003,"Role-Playing","E","GBA"
"Boku no Natsuyasumi",2000,"Adventure","","PS"
"Boku no Natsuyasumi 2: Umi no Bouken Hen",2002,"Adventure","","PS2"
"Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougenâ€‹",2007,"Adventure","","PS3"
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan Boku to Himitsu no Chizu",2009,"Adventure","","PSP"
"Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu",2010,"Adventure","","PSP"
"Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!",2006,"Adventure","","PSP"
"Bolt",2008,"Adventure","","DS"
"Bolt",2008,"Adventure","E10+","PS2"
"Bolt",2008,"Adventure","E10+","PS3"
"Bolt",2008,"Adventure","E10+","Wii"
"Bolt",2008,"Adventure","E10+","X360"
"Bombastic",2002,"Puzzle","E","PS2"
"Bomberman",2005,"Puzzle","E","DS"
"Bomberman",1985,"Puzzle","","NES"
"Bomberman",2006,"Puzzle","E","PSP"
"Bomberman",2008,"Puzzle","","Wii"
"Bomberman (jp sales)",2006,"Puzzle","","PSP"
"Bomberman 2",2008,"Puzzle","","DS"
"Bomberman 64",1997,"Puzzle","","N64"
"Bomberman 64: The Second Attack!",1999,"Adventure","","N64"
"Bomberman B-Daman",1996,"Shooter","","SNES"
"Bomberman Fantasy Race",1998,"Racing","","PS"
"Bomberman Generation",2002,"Adventure","E","GC"
"Bomberman Hero",1998,"Platform","","N64"
"Bomberman II",1991,"Puzzle","","NES"
"Bomberman Jetters",2002,"Puzzle","E","GC"
"Bomberman Land",2000,"Misc","","PS"
"Bomberman Land",2007,"Misc","E","PSP"
"Bomberman Land",2007,"Misc","E","Wii"
"Bomberman Land Touch!",2006,"Puzzle","","DS"
"Bomberman Land Touch! 2",2007,"Puzzle","","DS"
"Bomberman Max 2: Blue Advance",2002,"Puzzle","E","GBA"
"Bomberman Max 2: Red Advance",2002,"Puzzle","E","GBA"
"Bomberman Party Edition",1998,"Puzzle","E","PS"
"Bomberman Story DS",2007,"Role-Playing","","DS"
"Bomberman Tournament",2001,"Puzzle","E","GBA"
"Bomberman World",1998,"Puzzle","","PS"
"Bomberman: Act Zero",2006,"Puzzle","T","X360"
"Boogie",2007,"Misc","E10+","DS"
"Boogie",2007,"Misc","E10+","PS2"
"Boogie",2007,"Misc","E10+","Wii"
"Boogie SuperStar",2008,"Misc","E10+","Wii"
"Book of Spells",2012,"Action","","PS3"
"Bookworm",2009,"Puzzle","E","DS"
"Bookworm",2004,"Puzzle","E","GBA"
"Bookworm Deluxe",2006,"Puzzle","E","PC"
"Boom Blox",2008,"Puzzle","E","Wii"
"Boom Blox Bash Party",2009,"Puzzle","E","Wii"
"BoomBots",1999,"Fighting","","PS"
"Boot Camp Academy",2010,"Action","E10+","Wii"
"Borderlands",2009,"Shooter","M","PC"
"Borderlands",2009,"Shooter","M","PS3"
"Borderlands",2009,"Shooter","M","X360"
"Borderlands 2",2012,"Shooter","M","PC"
"Borderlands 2",2012,"Shooter","M","PS3"
"Borderlands 2",2014,"Shooter","M","PSV"
"Borderlands 2",2012,"Shooter","M","X360"
"Borderlands: Double Game Add-On Pack",2010,"Shooter","M","X360"
"Borderlands: The Handsome Collection",2015,"Shooter","M","PS4"
"Borderlands: The Handsome Collection",2015,"Shooter","M","XOne"
"Borderlands: The Pre-Sequel",2014,"Shooter","M","PC"
"Borderlands: The Pre-Sequel",2014,"Shooter","M","PS3"
"Borderlands: The Pre-Sequel",2014,"Shooter","M","X360"
"Botanicula",2012,"Adventure","","PC"
"Bottom of the 9th",1999,"Sports","","N64"
"Bottom of the 9th",1996,"Sports","","PS"
"Bottom of the 9th '97",1997,"Sports","","PS"
"Bottom of the 9th '99",1998,"Sports","","PS"
"Boulder Dash: Rocks!",2007,"Puzzle","","DS"
"Bound By Flame",2014,"Role-Playing","M","PS4"
"Bounty Hounds",2006,"Action","T","PSP"
"Boxer's Road",1995,"Fighting","","PS"
"Boxing",1980,"Fighting","","2600"
"Boxing",2000,"Fighting","","PS"
"Boxing Fever",2001,"Sports","E","GBA"
"BRAHMA Force: The Assault on Beltlogger 9",1996,"Shooter","","PS"
"Braid",2009,"Platform","E10+","PC"
"Brain Age 2: More Training in Minutes a Day",2005,"Puzzle","E","DS"
"Brain Age: Concentration Training",2012,"Puzzle","E","3DS"
"Brain Age: Train Your Brain in Minutes a Day",2005,"Misc","E","DS"
"Brain Assist",2007,"Misc","E","DS"
"Brain Boost: Beta Wave",2005,"Puzzle","E","DS"
"Brain Boost: Gamma Wave",2005,"Puzzle","E","DS"
"Brain Challenge",2008,"Misc","E","DS"
"Brain Dead 13",1996,"Adventure","","PS"
"Brain Exercise With Dr. Kawashima",2009,"Puzzle","","PC"
"Brain Quest: Grades 3 & 4",2008,"Misc","","DS"
"Brain Quest: Grades 5 & 6",2008,"Misc","","DS"
"Brain Voyage",2008,"Puzzle","E","DS"
"Brandish: The Dark Revenant",2009,"Role-Playing","T","PSP"
"Bratz",2002,"Platform","E","GBA"
"Bratz 4 Real",2007,"Adventure","E","DS"
"Bratz Kidz",2008,"Misc","E","DS"
"Bratz Kidz",2008,"Misc","E","Wii"
"Bratz Ponyz",2007,"Adventure","E","DS"
"Bratz Ponyz 2",2008,"Adventure","E","DS"
"Bratz: Forever Diamondz",2006,"Adventure","E","DS"
"Bratz: Forever Diamondz",2006,"Adventure","E","GC"
"Bratz: Forever Diamondz",2006,"Adventure","E","PS2"
"Bratz: Girlz Really Rock",2008,"Action","E","DS"
"Bratz: Girlz Really Rock",2008,"Action","E","PS2"
"Bratz: Girlz Really Rock",2008,"Action","E","Wii"
"Bratz: Rock Angelz",2004,"Misc","E","GBA"
"Bratz: Rock Angelz",2005,"Misc","E","GC"
"Bratz: Rock Angelz",2005,"Misc","E","PS2"
"Bratz: Super Babyz",2008,"Action","E","DS"
"Bratz: The Movie",2007,"Simulation","E","PS2"
"Bratz: The Movie",2007,"Simulation","E","Wii"
"Brave Fencer Musashi",1998,"Role-Playing","E","PS"
"Brave Story: Boku no Kioku to Negai",2006,"Role-Playing","","DS"
"Brave Story: New Traveler (US sales)",2006,"Role-Playing","","PSP"
"Brave Story: New Traveller (jp sales)",2006,"Role-Playing","","PSP"
"Brave: A Warrior's Tale",2009,"Action","E10+","Wii"
"Brave: A Warrior's Tale",2009,"Action","E10+","X360"
"Brave: The Video Game",2012,"Action","E10+","DS"
"Brave: The Video Game",2012,"Action","","Wii"
"Bravely Default: Flying Fairy",2012,"Role-Playing","","3DS"
"Bravely Second: End Layer",2015,"Role-Playing","T","3DS"
"Bravo Air Race",1997,"Racing","","PS"
"Breach",2011,"Shooter","T","PC"
"Break 'Em All",2005,"Puzzle","E","DS"
"Breakaway IV",0,"Puzzle","","2600"
"Breakdown",2004,"Adventure","M","XB"
"Breakout",1999,"Puzzle","E","PS"
"Breath of Fire",2001,"Role-Playing","E","GBA"
"Breath of Fire II",2001,"Role-Playing","E","GBA"
"Breath of Fire II",1994,"Role-Playing","","SNES"
"Breath of Fire III",1997,"Role-Playing","","PS"
"Breath of Fire III",2005,"Role-Playing","T","PSP"
"Breath of Fire IV",2000,"Role-Playing","T","PS"
"Breath of Fire: Dragon Quarter",2002,"Role-Playing","T","PS2"
"Breeding Stud 2",1998,"Sports","","PS"
"Brian Lara Cricket",1998,"Sports","","PS"
"Bridge",1980,"Misc","","2600"
"Brigandine: The Legend of Forsena",1998,"Strategy","","PS"
"Brink",2011,"Shooter","T","PC"
"Brink",2011,"Shooter","T","PS3"
"Brink",2011,"Shooter","T","X360"
"Britney's Dance Beat",2002,"Misc","E","GBA"
"Britney's Dance Beat",2002,"Misc","E","PS2"
"Broken Helix",1997,"Action","","PS"
"Broken Sword 5: The Serpent's Curse",2015,"Adventure","T","PS4"
"Broken Sword 5: The Serpent's Curse",2015,"Adventure","T","XOne"
"Broken Sword II: The Smoking Mirror",1997,"Adventure","","PS"
"Broken Sword: Shadow of the Templars - The Director's Cut",2009,"Adventure","T","Wii"
"Broken Sword: Shadows of the Templars - The Director's Cut",2009,"Adventure","","DS"
"Broken Sword: The Shadow of the Templars",2002,"Adventure","T","GBA"
"Broken Sword: The Sleeping Dragon",2003,"Adventure","T","XB"
"Brooktown High: Senior Year",2007,"Simulation","T","PSP"
"Brothers Conflict: Brilliant Blue",2013,"Adventure","","PSP"
"Brothers Conflict: Passion Pink",2012,"Action","","PSP"
"Brothers Conflict: Precious Baby",2017,"Action","","PSV"
"Brothers In Arms DS",2007,"Shooter","T","DS"
"Brothers In Arms: D-Day",2006,"Shooter","M","PSP"
"Brothers in Arms: Double Time",2008,"Shooter","M","Wii"
"Brothers In Arms: Earned in Blood",2005,"Shooter","M","PS2"
"Brothers In Arms: Earned in Blood",2005,"Shooter","M","XB"
"Brothers in Arms: Furious 4",2012,"Shooter","M","PS3"
"Brothers in Arms: Furious 4",0,"Shooter","M","X360"
"Brothers in Arms: Hell's Highway",2008,"Shooter","M","PC"
"Brothers in Arms: Hell's Highway",2008,"Shooter","M","PS3"
"Brothers in Arms: Hell's Highway",2008,"Shooter","M","X360"
"Brothers In Arms: Road to Hill 30",2005,"Shooter","M","PS2"
"Brothers In Arms: Road to Hill 30",2005,"Shooter","M","XB"
"Brothers: A Tale of Two Sons",2015,"Adventure","T","PS4"
"Brothers: A Tale of Two Sons",2015,"Adventure","T","XOne"
"Bruce Lee: Quest of the Dragon",2002,"Fighting","T","XB"
"Brunswick Circuit Pro Bowling",1999,"Sports","","N64"
"Brunswick Circuit Pro Bowling",1998,"Sports","","PS"
"Brunswick Circuit Pro Bowling 2",2000,"Sports","","PS"
"Brunswick Cosmic Bowling",2010,"Sports","E","Wii"
"Brunswick Pro Bowling",2011,"Sports","E","3DS"
"Brunswick Pro Bowling",2007,"Sports","E","PS2"
"Brunswick Pro Bowling",2010,"Sports","E","PS3"
"Brunswick Pro Bowling",2007,"Sports","E","PSP"
"Brunswick Pro Bowling",2007,"Sports","E","Wii"
"Brunswick Pro Bowling",2010,"Sports","E","X360"
"Brutal Legend",2009,"Action","M","PS3"
"Brutal Legend",2009,"Action","M","X360"
"Brute Force",2003,"Shooter","M","XB"
"Bubble Bobble also featuring Rainbow Islands",1995,"Puzzle","","PS"
"Bubble Bobble Double Shot",2007,"Puzzle","E","DS"
"Bubble Bobble Evolution",2006,"Puzzle","E","PSP"
"Bubble Bobble Revolution",2005,"Puzzle","E","DS"
"Bubble Bobble: Old & New",2002,"Puzzle","","GBA"
"Bubsy 3D",1996,"Platform","","PS"
"Buck Bumble",1998,"Action","","N64"
"Buck Fever",2009,"Sports","T","Wii"
"Buffy the Vampire Slayer",2002,"Action","T","XB"
"Buffy the Vampire Slayer: Chaos Bleeds",2003,"Action","T","GC"
"Buffy the Vampire Slayer: Chaos Bleeds",2003,"Action","T","PS2"
"Buffy the Vampire Slayer: Chaos Bleeds",2003,"Action","T","XB"
"Buffy the Vampire Slayer: Wrath of the Darkhul King",2003,"Action","T","GBA"
"Bugriders: The Race of Kings",1997,"Racing","","PS"
"Bugs Bunny & Taz: Time Busters",2000,"Adventure","","PS"
"Bugs Bunny: Lost in Time",1999,"Platform","","PS"
"Build-A-Bear Workshop",2007,"Simulation","E","DS"
"Build-A-Bear Workshop: A Friend Fur All Seasons",2008,"Simulation","E","Wii"
"Build-A-Bear Workshop: Friendship Valley",0,"Misc","E","Wii"
"Build-A-Bear Workshop: Welcome to Hugsville",2010,"Misc","E","DS"
"Build 'n Race",2009,"Racing","E","Wii"
"Builder's Block",1999,"Strategy","","PS"
"Bujingai: The Forsaken City",2003,"Fighting","T","PS2"
"Bullet Girls",2014,"Action","","PSV"
"Bullet Girls 2",2016,"Action","","PSV"
"Bullet Soul: Tama Tamashii",2011,"Shooter","","X360"
"Bullet Witch",2006,"Shooter","M","X360"
"Bulletstorm",2011,"Shooter","M","PC"
"Bulletstorm",2011,"Shooter","M","PS3"
"Bulletstorm",2011,"Shooter","M","X360"
"Bully",2006,"Action","T","PS2"
"Bully: Scholarship Edition",2008,"Action","T","PC"
"Bully: Scholarship Edition",2008,"Action","T","Wii"
"Bully: Scholarship Edition",2008,"Action","T","X360"
"Bump 'n' Jump",1982,"Racing","","2600"
"Bunmei Haruka: Aoiza Ibunroku",2011,"Action","","PSP"
"Bunmei Kaika: Aoiza Ibunroku Saien",2012,"Action","","PSP"
"Burger Island",2008,"Action","E","DS"
"Burger Island",2009,"Action","E","Wii"
"BurgerTime",1981,"Puzzle","","2600"
"Burning Rangers",1998,"Platform","","SAT"
"Burning Road",1996,"Racing","","PS"
"Burnout",2002,"Racing","E","GC"
"Burnout",2001,"Racing","E","PS2"
"Burnout",2002,"Racing","E","XB"
"Burnout 2: Point of Impact",2003,"Racing","E","GC"
"Burnout 2: Point of Impact",2002,"Racing","E","PS2"
"Burnout 2: Point of Impact",2003,"Racing","E","XB"
"Burnout 3: Takedown",2004,"Racing","T","PS2"
"Burnout 3: Takedown",2004,"Racing","T","XB"
"Burnout Dominator",2007,"Racing","E10+","PSP"
"Burnout Legends",2005,"Racing","E","DS"
"Burnout Legends",2005,"Racing","E10+","PSP"
"Burnout Paradise",2008,"Racing","E10+","PS3"
"Burnout Paradise",2008,"Racing","E10+","X360"
"Burnout Paradise: The Ultimate Box",2009,"Racing","E10+","PC"
"Burnout Paradise: The Ultimate Box",2009,"Racing","","PS3"
"Burnout Paradise: The Ultimate Box",2009,"Racing","","X360"
"Burnout Revenge",2005,"Racing","E10+","PS2"
"Burnout Revenge",2006,"Racing","E10+","X360"
"Burnout Revenge",2005,"Racing","E10+","XB"
"Burstrick: Wake Boarding!!",2000,"Sports","","PS"
"Bus Simulator 16",2016,"Simulation","","PC"
"Bushido Blade",1997,"Fighting","T","PS"
"Bushido Blade 2",1998,"Fighting","","PS"
"Busou Renkin: Youkoso Papillon Park e",2007,"Action","","PS2"
"Busou Shinki: Battle Masters",2010,"Action","","PSP"
"Busou Shinki: Battle Masters Mk. 2",2011,"Action","","PSP"
"Bust-A-Bloc",2002,"Puzzle","","PS2"
"Bust-A-Move",1994,"Puzzle","","3DO"
"Bust-A-Move '99",1998,"Puzzle","","N64"
"Bust-A-Move '99",1997,"Puzzle","","PS"
"Bust-A-Move 2 Arcade Edition",1997,"Puzzle","","N64"
"Bust-A-Move 2 Arcade Edition",1995,"Puzzle","","PS"
"Bust-A-Move 3000",2003,"Puzzle","E","GC"
"Bust-A-Move 4",1998,"Puzzle","","PS"
"Bust-A-Move Bash!",2007,"Puzzle","","Wii"
"Bust-A-Move Deluxe",2006,"Puzzle","E","PSP"
"Bust-A-Move DS",2005,"Puzzle","E","DS"
"Bust-A-Move Universe",2011,"Puzzle","E","3DS"
"Bust A Groove",1998,"Misc","","PS"
"Bust A Groove 2",1999,"Misc","E","PS"
"Buster Bros. Collection",1997,"Puzzle","","PS"
"Busy Scissors",2010,"Simulation","E","DS"
"Busy Scissors",2010,"Simulation","E","Wii"
"Butt-Ugly Martians: Zoom or Doom!",2002,"Racing","","PS2"
"Butt Ugly Martians: B.K.M. Battles",2002,"Action","E","GBA"
"Buzz Lightyear of Star Command",2000,"Platform","E","PS"
"Buzz! Brain of the UK",2009,"Misc","","PS3"
"Buzz! Junior: Jungle Party",2006,"Misc","","PS2"
"Buzz! Junior: RoboJam",2007,"Misc","","PS2"
"Buzz! Master Quiz",2008,"Misc","","PSP"
"Buzz! Quiz TV",2008,"Misc","","PS3"
"Buzz! Quiz World",2009,"Misc","","PS3"
"Buzz! The BIG Quiz",2006,"Misc","","PS2"
"Buzz! The Hollywood Quiz",2007,"Misc","","PS2"
"Buzz! The Mega Quiz",2007,"Misc","","PS2"
"Buzz! The Music Quiz",2005,"Misc","","PS2"
"Buzz! The Schools Quiz",2008,"Misc","","PS2"
"Buzz! The Ultimate Music Quiz",2010,"Misc","","PS3"
"C.O.P.: The Recruit",2009,"Action","T","DS"
"C.O.R.E.",2009,"Shooter","M","DS"
"C: The Contra Adventure",1998,"Shooter","","PS"
"Cabbage Patch Kids: The Patch Puppy Rescue",2007,"Misc","","GBA"
"Cabela's Adventure Camp",2011,"Misc","E","PS3"
"Cabela's Adventure Camp",2011,"Misc","E","Wii"
"Cabela's Adventure Camp",2011,"Misc","E","X360"
"Cabela's African Safari",2006,"Sports","T","PSP"
"Cabela's African Safari",2006,"Sports","T","X360"
"Cabela's Alaskan Adventure",0,"Sports","","PS2"
"Cabela's Alaskan Adventure",2006,"Sports","T","X360"
"Cabela's Big Game Hunter",2002,"Sports","","GBA"
"Cabela's Big Game Hunter",2002,"Sports","T","PS2"
"Cabela's Big Game Hunter (2008)",2007,"Sports","T","PS2"
"Cabela's Big Game Hunter (2008)",2007,"Sports","T","Wii"
"Cabela's Big Game Hunter (2008)",2007,"Sports","T","X360"
"Cabela's Big Game Hunter 2005 Adventures",2004,"Sports","","GBA"
"Cabela's Big Game Hunter 2005 Adventures",2004,"Sports","T","GC"
"Cabela's Big Game Hunter 2005 Adventures",2004,"Sports","T","PS2"
"Cabela's Big Game Hunter 2005 Adventures",2004,"Sports","T","XB"
"Cabela's Big Game Hunter 2010",2009,"Sports","T","PS3"
"Cabela's Big Game Hunter 2010",2009,"Sports","T","Wii"
"Cabela's Big Game Hunter 2010",2009,"Sports","T","X360"
"Cabela's Big Game Hunter 2012",2011,"Sports","T","PS3"
"Cabela's Big Game Hunter 2012",2011,"Sports","T","Wii"
"Cabela's Big Game Hunter 2012",2011,"Sports","T","X360"
"Cabela's Big Game Hunter: Hunting Party",2011,"Sports","","X360"
"Cabela's Big Game Hunter: Pro Hunts",2014,"Shooter","T","PS3"
"Cabela's Big Game Hunter: Pro Hunts",2014,"Shooter","T","WiiU"
"Cabela's Big Game Hunter: Pro Hunts",2014,"Shooter","T","X360"
"Cabela's Big Game Hunter: Ultimate Challenge",2001,"Sports","","PS"
"Cabela's Dangerous Hunts",2003,"Sports","T","PS2"
"Cabela's Dangerous Hunts",2003,"Sports","T","XB"
"Cabela's Dangerous Hunts 2",2005,"Sports","T","GC"
"Cabela's Dangerous Hunts 2",2005,"Sports","T","PS2"
"Cabela's Dangerous Hunts 2",2005,"Sports","T","XB"
"Cabela's Dangerous Hunts 2009",2008,"Sports","T","PS2"
"Cabela's Dangerous Hunts 2009",2008,"Sports","T","PS3"
"Cabela's Dangerous Hunts 2009",2008,"Sports","T","Wii"
"Cabela's Dangerous Hunts 2009",2008,"Sports","T","X360"
"Cabela's Dangerous Hunts 2011",2010,"Sports","T","DS"
"Cabela's Dangerous Hunts 2011",2010,"Sports","T","PS3"
"Cabela's Dangerous Hunts 2011",2010,"Sports","T","Wii"
"Cabela's Dangerous Hunts 2011",2010,"Sports","T","X360"
